day,hora,divers
24/05/2021,"[11,13)",0
24/05/2021,"[13,18)",0
24/05/2021,"[19,23)",0
24/05/2021,"[8,11)",0
25/05/2021,"[11,13)",23
25/05/2021,"[13,18)",12
25/05/2021,"[19,23)",0
25/05/2021,"[8,11)",12
26/05/2021,"[11,13)",0
26/05/2021,"[13,18)",0
26/05/2021,"[19,23)",0
26/05/2021,"[8,11)",0
27/05/2021,"[11,13)",20
27/05/2021,"[13,18)",0
27/05/2021,"[19,23)",0
27/05/2021,"[8,11)",20
28/05/2021,"[11,13)",20
28/05/2021,"[13,18)",20
28/05/2021,"[19,23)",0
28/05/2021,"[8,11)",20
29/05/2021,"[11,13)",0
29/05/2021,"[13,18)",0
29/05/2021,"[19,23)",0
29/05/2021,"[8,11)",0
30/05/2021,"[11,13)",24
30/05/2021,"[13,18)",0
30/05/2021,"[19,23)",0
30/05/2021,"[8,11)",36
31/05/2021,"[11,13)",20
31/05/2021,"[13,18)",0
31/05/2021,"[19,23)",0
31/05/2021,"[8,11)",20
01/06/2021,"[11,13)",22
01/06/2021,"[13,18)",12
01/06/2021,"[19,23)",12
01/06/2021,"[8,11)",12
02/06/2021,"[11,13)",0
02/06/2021,"[13,18)",0
02/06/2021,"[19,23)",0
02/06/2021,"[8,11)",0
03/06/2021,"[11,13)",23
03/06/2021,"[13,18)",12
03/06/2021,"[19,23)",0
03/06/2021,"[8,11)",11
04/06/2021,"[11,13)",44
04/06/2021,"[13,18)",44
04/06/2021,"[19,23)",0
04/06/2021,"[8,11)",44
05/06/2021,"[11,13)",44
05/06/2021,"[13,18)",44
05/06/2021,"[19,23)",0
05/06/2021,"[8,11)",44
06/06/2021,"[11,13)",44
06/06/2021,"[13,18)",20
06/06/2021,"[19,23)",0
06/06/2021,"[8,11)",44
07/06/2021,"[11,13)",24
07/06/2021,"[13,18)",24
07/06/2021,"[19,23)",0
07/06/2021,"[8,11)",24
08/06/2021,"[11,13)",31
08/06/2021,"[13,18)",12
08/06/2021,"[19,23)",0
08/06/2021,"[8,11)",31
09/06/2021,"[11,13)",12
09/06/2021,"[13,18)",12
09/06/2021,"[19,23)",12
09/06/2021,"[8,11)",12
10/06/2021,"[11,13)",44
10/06/2021,"[13,18)",32
10/06/2021,"[19,23)",0
10/06/2021,"[8,11)",32
11/06/2021,"[11,13)",44
11/06/2021,"[13,18)",44
11/06/2021,"[19,23)",0
11/06/2021,"[8,11)",44
12/06/2021,"[11,13)",44
12/06/2021,"[13,18)",44
12/06/2021,"[19,23)",0
12/06/2021,"[8,11)",44
13/06/2021,"[11,13)",42
13/06/2021,"[13,18)",32
13/06/2021,"[19,23)",0
13/06/2021,"[8,11)",44
14/06/2021,"[11,13)",12
14/06/2021,"[13,18)",12
14/06/2021,"[19,23)",0
14/06/2021,"[8,11)",12
15/06/2021,"[11,13)",33
15/06/2021,"[13,18)",12
15/06/2021,"[19,23)",0
15/06/2021,"[8,11)",21
16/06/2021,"[11,13)",44
16/06/2021,"[13,18)",44
16/06/2021,"[19,23)",0
16/06/2021,"[8,11)",20
17/06/2021,"[11,13)",43
17/06/2021,"[13,18)",44
17/06/2021,"[19,23)",0
17/06/2021,"[8,11)",32
18/06/2021,"[11,13)",44
18/06/2021,"[13,18)",44
18/06/2021,"[19,23)",0
18/06/2021,"[8,11)",44
19/06/2021,"[11,13)",43
19/06/2021,"[13,18)",43
19/06/2021,"[19,23)",0
19/06/2021,"[8,11)",44
20/06/2021,"[11,13)",44
20/06/2021,"[13,18)",20
20/06/2021,"[19,23)",0
20/06/2021,"[8,11)",46
21/06/2021,"[11,13)",24
21/06/2021,"[13,18)",24
21/06/2021,"[19,23)",0
21/06/2021,"[8,11)",12
22/06/2021,"[11,13)",41
22/06/2021,"[13,18)",32
22/06/2021,"[19,23)",0
